,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
537,Cydee Technologies,https://www.crunchbase.com/organization/cydee-technologies,Manufacturing,"Bangalore, Karnataka, India",Cydee Technologies is a Developer of streetlights that will reduce the light poles by 60 percent and save the material.,2017,01/01/2017,https://www.cydeetech.com/,12.95446000000004,77.70025000000004
538,Buhl Data Service,https://www.crunchbase.com/organization/buhl-data-service-e49a,Software,"Bangalore, Karnataka, India","Imprezz is a SaaS software for MSME's to manage their operations helping businesses with accounting,and invoicing needs",2019,13/06/2019,https://imprezz.in,13.050395798794657,77.75671875392125
539,Tvasta,https://www.crunchbase.com/organization/tvasta,"3D Printing, Industrial Engineering, Manufacturing, Mechanical Engineering, Residential","Bangalore, Karnataka, India",Working towards automating and digitizing the construction industry with our proprietary Concrete 3D Printing System,2016,01/01/2016,http://www.tvasta.construction/,12.966180000000065,77.58690000000007
540,BuyLowcal,https://www.crunchbase.com/organization/buylowcal-com,"E-Commerce, Grocery, Information Services, Shopping","Bangalore, Karnataka, India",BuyLowcal is a technology platform that transforms the way small businesses and customers interact.,2020,12/05/2020,https://www.buylowcal.com,12.966180000000065,77.58690000000007
541,Zenparent,https://www.crunchbase.com/organization/zenparent,"Child Care, Lifestyle, Mobile Apps","Bangalore, Karnataka, India","ZenParent, want to be your extended support system regardless of whether you’re the parent of a tot, tween or teen.",2014,01/01/2014,http://zenparent.in,12.966180000000065,77.58690000000007
542,Bizita Technologies,https://www.crunchbase.com/organization/bizita-technologies,"Consulting, Enterprise Software, Information Technology, Software","Bangalore, Karnataka, India","Bizita Technologies is a global leader in consulting, technology and outsourcing and next-generation services.",2019,24/08/2019,http://www.bizitatech.com,12.95446000000004,77.70025000000004
543,InterpretOmics,https://www.crunchbase.com/organization/interpretomics,"Analytics, Biotechnology, Genetics","Bangalore, Karnataka, India","InterpretOmics offers a cloud-based software system that enables genomics in human health and medicine, bio-agriculture and bio-energy.",2009,16/08/2009,http://www.interpretomics.co,12.966180000000065,77.58690000000007
544,Infiction labs,https://www.crunchbase.com/organization/infiction-labs-bb13,"Artificial Intelligence, Clean Energy, CleanTech, Internet of Things, Renewable Energy, Robotics, Solar","Bangalore, Karnataka, India",We are a Robotics company that design and build autonomous robotic solutions for the Solar Industry,2014,01/01/2014,https://www.infictionlabs.com/,12.966180000000065,77.58690000000007
545,Trodly,https://www.crunchbase.com/organization/trodly,"E-Commerce, Internet, Travel","Bangalore, Karnataka, India","Trodly is a trusted online platform for people to discover and book exciting activities, tours and experience for their trips.",2015,01/01/2015,https://www.trodly.com,12.966180000000065,77.58690000000007
546,Handkey,https://www.crunchbase.com/organization/handkey,"Fitness, Personal Health, Public Safety, Wellness","Bangalore, Karnataka, India","Handkey is the safest way to access commonly used public surfaces like Elevator buttons, doors etc in the Post Covid world",2020,01/01/2020,http://handkey.co,12.966180000000065,77.58690000000007
547,Esthan Group,https://www.crunchbase.com/organization/esthan-pvt-ltd,"Advertising, Analytics, Artificial Intelligence, CRM, SaaS, Software","Bangalore, Karnataka, India","Esthan is a full fledged digital PR agency which focusses on growing IoT, M2M and Big Data and SaaS businesses.",2017,01/01/2017,https://esthan.com,12.966180000000065,77.58690000000007
548,GrowthX,https://www.crunchbase.com/organization/growthx-cf13,EdTech,"Bangalore, Karnataka, India","A Product & Growth platform that drives insightful sessions in the form of bootcamps, masterclasses, sessions & more.",2020,01/01/2020,https://growthx.club/,12.966180000000065,77.58690000000007
549,Intugine Technologies,https://www.crunchbase.com/organization/intugine-technologies,"Consumer, Consumer Electronics, Enterprise Software, SaaS, Software","Bangalore, Karnataka, India",SaaS Technology company that helps businesses optimize Logistics and Supply Chain Operations,2013,01/09/2013,http://www.intugine.com,12.95446000000004,77.70025000000004
550,K2 Learning,https://www.crunchbase.com/organization/k2-learning,"EdTech, Education","Bangalore, Karnataka, India","K2 Learning helps students, educators, and researchers advance the profession of commerce education through research.",2009,11/01/2009,http://k2learning.in,12.966180000000065,77.58690000000007
551,Finly,https://www.crunchbase.com/organization/finly,"Accounting, FinTech, Information Technology, Management Consulting","Bangalore, Karnataka, India",Finly is your one stop solution to have complete visibility and control over your business expenses.,2015,01/01/2015,https://www.finly.io/,12.934890000000053,77.61345000000006
552,Snaptrude,https://www.crunchbase.com/organization/snaptrude,"3D Technology, CAD, Data Visualization, Real Estate","Bangalore, Karnataka, India","Sketch to detailed 3D designs, instantly for Architects!",2017,01/12/2017,http://www.snaptrude.com/,12.966180000000065,77.58690000000007
553,Onionfans PTE.LTD,https://www.crunchbase.com/organization/onionfans-pte-ltd,"News, Public Relations, Publishing, Venture Capital","Bangalore, Karnataka, India",A tech media and venture capital management organization connecting China and India,2015,25/12/2015,http://www.onionfans.com,12.966180000000065,77.58690000000007
554,Bullet News,https://www.crunchbase.com/organization/bullet-news-ltd,"Delivery, Events, Mobile Apps, News","Bangalore, Karnataka, India",A mobile app and platform delivering smart fast news in bullet points from news providers.,2013,07/11/2013,https://www.bulletnews.net,13.016540377148418,77.57260101638192
555,Anaka Agritech,https://www.crunchbase.com/organization/anaka-agritech,"Agriculture, AgTech, Farming, Software","Bangalore, Karnataka, India",Anaka is an AgriTech company pioneering Farming as a Service (FaaS).,2018,24/02/2018,http://anaka.io,13.03788000000003,77.53538000000003
556,Inor Fresh Foods,https://www.crunchbase.com/organization/sewa-fish-meat-recipes,"Agriculture, AgTech, Farming, Food Processing, Organic Food, Seafood","Bangalore, Karnataka, India",We Know Fresh is Good For Health and we are provide it,2022,14/02/2022,,12.968360000000075,77.63878000000005
557,Vatsalya Dental,https://www.crunchbase.com/organization/vatsalya-centre-for-oral-health,"Dental, Health Care, Hospital, Medical, Medical Device","Bangalore, Karnataka, India",It is not about just wanting an average treatment at a dental office..,2003,01/01/2003,https://www.vatsalyadental.com/,12.929530000000057,77.63245000000006
558,The Blue Book,https://www.crunchbase.com/organization/the-blue-book,Apps,"Bangalore, Karnataka, India",Find and avail the best deals at your favourite outlets.,2013,01/01/2013,,12.966180000000065,77.58690000000007
559,Weballigator,https://www.crunchbase.com/organization/weballigator,"Information Technology, SaaS, Web Hosting","Bangalore, Karnataka, India",Unusual market capture SME business SaaS system,2012,01/01/2012,https://www.jobsraja.com/weballigator/,12.966180000000065,77.58690000000007
560,Zoprent Technologies Pvt.Ltd.,https://www.crunchbase.com/organization/zoprent-technologies-pvt-ltd,"Automotive, E-Commerce, Internet, Internet of Things, Logistics, Transportation, Travel","Bangalore, Karnataka, India",One of India’s largest online self drive rental aggregators with  24 locations and over 10000 vehicles across those locations.,2017,06/02/2017,https://www.zoprent.com,12.95446000000004,77.70025000000004
