,Organization,Organization_URL,Industries,Headquarters,Description,Year,Founded_Date,Website,Latitude,Longitude
198,Peakperformer,https://www.crunchbase.com/organization/peakperformer,"Artificial Intelligence, E-Learning, Information Services, Information Technology","Bangalore, Karnataka, India","A goal-oriented, outcome-driven AI platform to help organisations build futuristic leaders in every vertical.",2020,01/01/2020,https://peakperformer.io/,13.050220000000024,77.60631000000006
199,Chaitanya,https://www.crunchbase.com/organization/chaitanya,"Banking, Finance","Bangalore, Karnataka, India",Chaitanya is a Bengaluru based NBFC with a two-tier structure focusing on providing microfinance loan,2009,01/01/2009,http://www.chaitanyaindia.in/,12.99368000000004,77.53816000000006
200,MitronTV,https://www.crunchbase.com/organization/mitrontv,"Social Network, Video","Bangalore, Karnataka, India",MitronTV is a social network platform aimed at sharing short-form videos.,2020,01/01/2020,https://web.mitron.tv,12.966180000000065,77.58690000000007
201,GoalTeller,https://www.crunchbase.com/organization/goalteller,"Finance, Financial Services, FinTech","Bangalore, Karnataka, India",GoalTeller create your own 24/7 smart financial advisor and prosperity planner.,2020,01/01/2020,https://goalteller.com/,12.966180000000065,77.58690000000007
202,VS Mani & Co,https://www.crunchbase.com/organization/vs-mani-co,"Coffee, Food and Beverage","Bangalore, Karnataka, India",VS Mani & Co is a specialty South Indian food brand.,2020,01/01/2020,https://vsmani.com/,12.86910000000006,74.84191000000004
203,Knackit,https://www.crunchbase.com/organization/knackit,"Content, Content Creators, Digital Entertainment, E-Learning, Employment, Freelance, Marketplace, Video","Bangalore, Karnataka, India","Knackit is an Extracurricular Talent Marketplace, creators share content, run a subscription service and monetize skills.",2019,08/11/2019,https://www.knackit.in/,12.966180000000065,77.58690000000007
204,InstaSafe,https://www.crunchbase.com/organization/instasafe,"Cloud Security, Information Technology, Network Security, Security, Software","Bangalore, Karnataka, India",InstaSafe is a next gen cloud based security solutions provider that caters to security needs of virtual teams and distributed workforces,2012,26/11/2012,http://www.instasafe.com/,12.966180000000065,77.58690000000007
205,OneCare,https://www.crunchbase.com/organization/onecare-660a,"Health Care, Personal Health, Wellness","Bangalore, Karnataka, India","OneCare aims thousands of patients achieve lower blood sugar, while reducing the need for medications, including insulin.",2021,01/01/2021,https://onecare.co.in/,12.966180000000065,77.58690000000007
206,TartanSense,https://www.crunchbase.com/organization/tartansense,"Agriculture, Artificial Intelligence, Consumer Electronics, Farming, Information Technology, Machine Learning, Robotics","Bangalore, Karnataka, India",TartanSense is an AI powered robotics solutions provider empowering small farm holders.,2015,01/01/2015,http://www.tartansense.com/,12.966180000000065,77.58690000000007
207,SmarterBiz Technologies,https://www.crunchbase.com/organization/smarter-biz-technologies-private-limited,"Apps, Artificial Intelligence, Customer Service, Information Technology, Internet, Machine Learning, Software","Bangalore, Karnataka, India",SmarterBiz Technologies is an artificial intelligence-based customer experience platform.,2014,05/02/2014,https://smarterbiz.ai/,12.95446000000004,77.70025000000004
208,YourDOST,https://www.crunchbase.com/organization/your-d-o-s-t,"Health Care, Wellness","Bangalore, Karnataka, India","Online counselling platform to connect with psychologists & counsellors for guidance related to personal, professional and academic matters",2014,15/12/2014,https://yourdost.com,12.934350000000052,77.61535000000003
209,AnKa SumMor Foods,https://www.crunchbase.com/organization/anka-summor-foods,"Food and Beverage, Food Processing","Bangalore, Karnataka, India",Anka SumMor Foods is a technology-enabled income and distribution organization that presents plug-and-play service to emerging brands.,2017,01/01/2017,,12.966180000000065,77.58690000000007
210,Skillenza,https://www.crunchbase.com/organization/venturesity,"Education, Human Resources, Recruiting","Bangalore, Karnataka, India",The optimum gap filler between required market-ready skills and the current college student skillset.,2012,01/01/2012,https://skillenza.com,12.966180000000065,77.58690000000007
211,Kafqa Academy,https://www.crunchbase.com/organization/kafqa-academy,"Education, Performing Arts, Training","Bangalore, Karnataka, India","Kafqa Academy is a global performing arts academy that offers classes in dancing, singing, and speech & drama.",2020,01/01/2020,https://www.kafqa.com/,12.977510000000052,77.63698000000005
212,Flux Auto,https://www.crunchbase.com/organization/flux-auto,"Artificial Intelligence, Automotive, Autonomous Vehicles","Bangalore, Karnataka, India",Flux Auto develops modular autonomous driving technology for trucks.,2017,01/01/2017,http://www.fluxauto.xyz/,13.056430000000034,77.58307000000008
213,Playto Labs,https://www.crunchbase.com/organization/playto-labs,"E-Learning, Education","Bangalore, Karnataka, India","Playto Labs helps your child develop the skills, curiosity and confidence needed to win the future.",2021,01/01/2021,https://www.playtolabs.com/,12.922600000000045,77.48618000000005
214,Nimesa Technology,https://www.crunchbase.com/organization/nimesa-technology,"Cloud Computing, Software","Bangalore, Karnataka, India",Nimesa Technology is a Data Protection & Copy Data Management company.,2018,01/01/2018,http://nimesa.io/,12.976560000000063,77.71035000000006
215,Gully Network Retail,https://www.crunchbase.com/organization/gully-network-retail,"Grocery, Retail","Bangalore, Karnataka, India",Gully Network is a tech-enabled network of mid-sized grocery stores.,2019,01/01/2019,https://www.gullynetwork.com,12.966180000000065,77.58690000000007
216,Redwing Labs,https://www.crunchbase.com/organization/redwing-aerospace-laboratories,"Automotive, Computer, Drones","Bangalore, Karnataka, India",Redwing Labs engages in designing and manufacturing of autonomous unmanned drones and operating systems.,2018,28/01/2018,https://www.redwinglabs.in/,12.922600000000045,77.48618000000005
217,Property Share Online Platform,https://www.crunchbase.com/organization/property-share-online-platform,"Internet, Marketplace, Property Development, Real Estate","Bangalore, Karnataka, India","Property Share enables its users to go for a unique, fractional property ownership model in a few rented properties",2015,01/01/2015,http://propertyshare.in/,12.966180000000065,77.58690000000007
218,Scrut Automation,https://www.crunchbase.com/organization/scrut-automation,"Information Services, Information Technology, Software","Bangalore, Karnataka, India",Scrut Automation is an Information security compliance platform.,2021,01/01/2021,https://www.scrut.io/,12.854330000000061,77.66367000000008
219,klay schools,https://www.crunchbase.com/organization/klay-schools,"Education, Primary Education, Service Industry","Bangalore, Karnataka, India",KLAY is extremely focused on child safety.,2011,01/01/2011,http://www.klayschools.com/,12.939885246799063,77.48575423347016
220,Aarav Unmanned Systems,https://www.crunchbase.com/organization/aarav-unmanned-systems,"Delivery, Drones, Geospatial, Robotics","Bangalore, Karnataka, India",Aarav Unmanned Systems manufactures industry grade drones.,2013,01/01/2013,http://aus.co.in/,12.987250000000074,77.60943000000003
221,MoneyOnClick,https://www.crunchbase.com/organization/moneyonclick,"Financial Services, FinTech, Internet, Lending","Bangalore, Karnataka, India",Building India's largest financial services brand for the 500Mn underserved lower-middle income customers.,2018,01/10/2018,https://www.moneyonclick.com,12.966180000000065,77.58690000000007
222,Finzy,https://www.crunchbase.com/organization/finzy,"Financial Services, Lending","Bangalore, Karnataka, India",finzy is the premier peer to peer lending solution in India. ,2016,01/01/2016,https://www.finzy.com/borrow,12.934890000000053,77.61345000000006
223,Qyuki,https://www.crunchbase.com/organization/qyuki,"Collaboration, Music","Bangalore, Karnataka, India","Qyuki offers an app that allows individuals to discover, add and share creative content.",2011,01/06/2011,http://www.qyuki.com,12.966180000000065,77.58690000000007
224,Supply6,https://www.crunchbase.com/organization/supply6,"Fitness, Health Care, Wellness","Bangalore, Karnataka, India",Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,2018,28/05/2018,https://www.supplysix.com/,12.966180000000065,77.58690000000007
225,Unmarshal,https://www.crunchbase.com/organization/unmarshal,"Blockchain, Software","Bangalore, Karnataka, India",Unmarshal is a Decentralized network of blockchain data indexers and transforming tools.,2021,01/01/2021,https://unmarshal.io/,12.960930000000076,77.66419000000008
226,ReadyAssist - 24/7 Roadside Assistance,https://www.crunchbase.com/organization/readyassist-automobile-services,Automotive,"Bangalore, Karnataka, India","ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",2018,05/12/2018,https://www.readyassist.in/,12.966180000000065,77.58690000000007
227,SPOYL,https://www.crunchbase.com/organization/spoylapp,"E-Commerce, Fashion, Lifestyle","Bangalore City, Karnataka, India",India's largest destination platform for influencer-led fashion e-commerce,2015,15/08/2015,https://www.spoyl.in/,12.966180000000065,77.58690000000007
228,MedPiper,https://www.crunchbase.com/organization/medpiper,"Health Care, Internet, Social Network","Bangalore, Karnataka, India","Building everything Digital Health companies and clinicians need to deliver anytime, anywhere virtual care.",2020,11/04/2020,https://www.medpiper.com,12.966180000000065,77.58690000000007
229,Ensuredit,https://www.crunchbase.com/organization/ensuredit,,"Bangalore, Karnataka, India",Taking Insurance To The Masses,2019,01/01/2019,https://www.ensuredit.com/,12.966180000000065,77.58690000000007
230,AvalonMeta Ventures,https://www.crunchbase.com/organization/avalonmeta-ventures,"Education, Gaming","Bangalore, Karnataka, India",AvalonMeta Ventures is a startup combining education and gaming.,2019,01/01/2019,https://www.avalonmeta.com/,12.984480000000076,77.60095000000007
231,The Backbenchers,https://www.crunchbase.com/organization/the-backbenchers,"Business Intelligence, Digital Entertainment, Education, Information Technology, Media and Entertainment","Bangalore, Karnataka, India",'TheBackbenchers™ is World's fastest-growing Platform for sharing Inspiration & Motivational stories.',2005,12/11/2005,https://www.thebackbenchers.com,12.960570000000075,77.71407000000005
232,OneAssure,https://www.crunchbase.com/organization/oneassure,,"Bangalore, Karnataka, India",OneAssure is a customer-focused distribution network for products and services related to health insurance.,2019,01/01/2019,https://www.oneassure.in/,12.982230000000072,77.60903000000008
233,Pathfndr,https://www.crunchbase.com/organization/metripping-technologies-pvt-ltd,"Artificial Intelligence, Leisure, Machine Learning, Tourism, Travel, Travel Agency","Bangalore, Karnataka, India",Building the AI-powered Travel Operating System to help travel advisors create their online/ hybrid business.,2015,27/11/2015,http://www.pathfndr.io,12.966180000000065,77.58690000000007
234,Nutty Yogi,https://www.crunchbase.com/organization/nutty-yogi,"Organic Food, Snack Food","Bangalore, Karnataka, India",Nutty Yogi is a Bengaluru-headquartered clean-labelled organic food brand.,2017,01/01/2017,https://nuttyyogi.com/,12.966180000000065,77.58690000000007
235,Tonbo Imaging,https://www.crunchbase.com/organization/tonbo-imaging,"Electronics, Hardware, Sensor","Bangalore, Karnataka, India",Tonbo Imaging offers advanced imaging and sensor systems for military reconnaissance and the security of critical industrial establishments.,2003,01/01/2003,http://tonboimaging.com,12.991020000000049,77.57158000000004
236,Tydy,https://www.crunchbase.com/organization/tydy,"Collaboration, Employment, Enterprise Software, Freemium, Human Resources, Recruiting, SaaS, Software, Subscription Service","Bangalore, Karnataka, India","Tydy is an experience automation platform to manage onboarding, transitions, and offboarding of employees.",2016,01/01/2016,https://www.tydy.co/,12.966180000000065,77.58690000000007
237,StowNest Storage,https://www.crunchbase.com/organization/stownest-storage,"Self-Storage, Service Industry, Warehousing","Bangalore, Karnataka, India","StowNest Storage offers personal storage, office storage, and business storage services.",2019,01/01/2019,https://stownest.com,12.966180000000065,77.58690000000007
238,Bluepad,https://www.crunchbase.com/organization/bluepad-01f6,"Content, Digital Media","Bangalore, Karnataka, India",Bluepad is a one-stop solution for aggregated written content in vernacular languages.,2020,01/01/2020,https://www.bluepad.in/,12.966180000000065,77.58690000000007
239,Zolve,https://www.crunchbase.com/organization/zolve-bc3c,"Banking, Financial Services, FinTech","Bangalore, Karnataka, India",Zolve is a cross border fintech that enables fair access to global financial products.,2020,01/01/2020,https://zolve.com/,12.966180000000065,77.58690000000007
240,BuyHatke,https://www.crunchbase.com/organization/buyhatke,"E-Commerce, Internet","Bangalore City, Karnataka, India",BuyHatke.com is a price comparison portal for online shopping in India.,2012,09/07/2012,http://compare.buyhatke.com,12.966180000000065,77.58690000000007
241,Wizely,https://www.crunchbase.com/organization/wizely-e506,"Financial Services, FinTech, Mobile Apps","Bangalore, Karnataka, India",Wizely is India’s first platform dedicated to Financial Wellness for emerging India.,2017,01/01/2017,http://www.wizely.in/,12.966180000000065,77.58690000000007
242,ExactSpace,https://www.crunchbase.com/organization/exactspace,"Artificial Intelligence, Human Resources, Machine Learning, Software","Bangalore, Karnataka, India",ExactSpace is an industrial AI company.,2018,01/01/2018,https://exactspace.co,12.969400000000064,77.62884000000008
243,Koo App,https://www.crunchbase.com/organization/koo-app,"Apps, Internet, Social Media, Software","Bangalore, Karnataka, India",Koo App is an India-based social media platform that allows users to share audio and video.,2020,01/03/2020,https://www.kooapp.com,12.966180000000065,77.58690000000007
244,Vyapar App,https://www.crunchbase.com/organization/vyapar-app,"Accounting, FinTech, Local Business, Software","Bangalore, Karnataka, India",Vyapar is a fully GST-compatible business accounting software aimed at simplifying the daily activities of micro & small businesses.,2015,11/12/2015,https://vyaparapp.in,12.865620000000035,74.83594000000005
245,Crater.Club,https://www.crunchbase.com/organization/worknetwork,"Online Auctions, Social Media, Video Streaming","Bangalore, Karnataka, India",A live streaming & auctions platform for creators & educators.,2021,01/09/2021,https://crater.club/,12.939970000000073,77.62525000000005
246,Digio,https://www.crunchbase.com/organization/digio-2,"Android, E-Commerce, Internet, SaaS, Software, Web Apps","Bangalore, Karnataka, India","Digio brings paperless, presence less, hassle-free documentation, and digital processes to businesses and consumers.",2016,01/01/2016,https://www.digio.in,12.933820000000026,77.61511000000007
247,LOBB,https://www.crunchbase.com/organization/lobb-2,"E-Commerce, Logistics, Service Industry, Transportation","Bangalore, Karnataka, India",LOBB is the new way to match logistics Demand & Supply. India's Largest Intelligence Augmentation for Long haul,2015,07/05/2015,https://lobb.in,12.966180000000065,77.58690000000007
248,Kofluence,https://www.crunchbase.com/organization/kofluence,"Advertising, Data Integration, Marketing","Bangalore, Karnataka, India","Kofluence engages in the data-driven influencer marketing, social listening, creator discovery, workflow management and reporting industry.",2019,01/01/2019,https://www.kofluence.com/,12.988880000000051,77.57397000000003
249,Grow Fit,https://www.crunchbase.com/organization/grow-fit,"Artificial Intelligence, Health Care, Mobile Apps, Wellness","Bangalore, Karnataka, India",Grow Fit is a mobile health companion that uses artificial intelligence.,2015,01/09/2015,http://www.getgrowfit.com/,13.029870000000074,77.56067000000007
250,InstaCar,https://www.crunchbase.com/organization/instacar-2,"Information Technology, Taxi Service","Bangalore, Karnataka, India",Committing to bringing in the missing personalization into Car Rental services focused on safety standards & an experience-centric approach,2016,04/08/2016,https://www.instacar.in/,12.906240000000025,77.59338000000008
251,Thrillophilia.com,https://www.crunchbase.com/organization/thrillophilia-adventure-tours-pvt-ltd,"Local, Tourism, Travel","Bangalore, Karnataka, India","Thrillophilia is a tours, activities, and things to do platform in India that connects suppliers to users.",2009,20/05/2009,http://www.thrillophilia.com,12.966180000000065,77.58690000000007
252,Savaari Car Rentals,https://www.crunchbase.com/organization/savaari-car-rentals,"E-Commerce, Public Transportation, Rental, Taxi Service","Bangalore, Karnataka, India","Savaari Car Rentals is a online taxi aggregator based in Bangalore, India.",2006,01/01/2006,http://savaari.com,12.959280000000035,77.64723000000004
253,Forus Health,https://www.crunchbase.com/organization/forus-health,"Health Care, Medical, Medical Device","Bangalore, Karnataka, India",Forus Health is a provider of preventive healthcare services to eradicate avoidable blindness.,2010,01/01/2010,http://forushealth.com,12.923910000000035,77.57132000000007
254,Taqanal Energy Pvt Ltd,https://www.crunchbase.com/organization/taqanal-energy-pvt-ltd,,"Bangalore, Karnataka, India",Cloud Connected Smart Battery Solution,2018,01/01/2018,https://www.taqanal.com/,12.966180000000065,77.58690000000007
255,Inventrom Pvt.Ltd. (Bolt IoT),https://www.crunchbase.com/organization/inventrom-2,"Data Visualization, Hardware, Internet of Things, Machine Learning, Manufacturing","Bangalore, Karnataka, India",Inventrom Pvt. Ltd is the creator of the award winning Bolt Internet of Things Platform for developers,2016,18/07/2016,http://www.boltiot.com,12.966180000000065,77.58690000000007
256,KrishiHub,https://www.crunchbase.com/organization/krishihub,"Agriculture, AgTech, Artificial Intelligence, Internet, Machine Learning","Bangalore, Karnataka, India",KrishiHub is an agri-tech startup building technology-driven agricultural ecosystem for Indian farmers.,2016,01/01/2016,http://krishihub.com,12.928900000000056,77.58455000000004
257,Explorex,https://www.crunchbase.com/organization/eatable-ddca,"Food and Beverage, Mobile Apps, Payments, Point of Sale, SaaS, Software","Bangalore, Karnataka, India",Explorex is an all-in-one ecosystem of software suite & business management platform for offline businesses.,2020,08/07/2020,https://explorex.co/home,12.987410000000068,77.73721000000006
258,Zenda,https://www.crunchbase.com/organization/zenda-f99a,"Finance, Financial Services, FinTech","Bangalore, Karnataka, India","Zenda is a fintech app that enables to pay school fees with pay-now and pay-later options, unlocking rewards for paying on time.",2021,01/06/2021,https://www.zenda.com/,12.997670000000028,77.58226000000008
259,HolidayIQ,https://www.crunchbase.com/organization/holidayiq-com,"Communities, Hotel, Resorts, Travel","Bangalore, Karnataka, India",HolidayIQ was launched in early 2004 under the name of India Resorts Survey. India Resorts Survey was focussed on creating India's first,2004,01/01/2004,http://www.holidayiq.com,12.972590000000025,77.63939000000005
260,Rapawalk,https://www.crunchbase.com/organization/rapawalk,"E-Commerce, Fashion, Internet","Bangalore, Karnataka, India",Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2017,01/01/2017,https://www.rapawalk.com/,12.932790000000068,77.61021000000005
261,YourOwnROOM,https://www.crunchbase.com/organization/yourownroom,"Online Portals, Property Management, Rental","Bangalore, Karnataka, India",YourOwnROOM is a residential real estate prop-tech rental and property management company.,2016,25/02/2016,http://yourownroom.com,12.966180000000065,77.58690000000007
262,Vah Vah!,https://www.crunchbase.com/organization/vah-vah,"E-Learning, Employment","Bangalore, Karnataka, India",We are on a mission to educate India and make its young and dynamic population job ready.,2020,01/01/2020,https://vahvah.com/,12.966180000000065,77.58690000000007
263,Jodo,https://www.crunchbase.com/organization/jodo,"Financial Services, FinTech","Bangalore, Karnataka, India",Jodo is a mission-oriented fintech company which is building customized financial products for middle-income households in urban India.,2020,10/02/2020,https://www.jodo.in,12.966180000000065,77.58690000000007
264,SimpliContract,https://www.crunchbase.com/organization/simplicontract,"Artificial Intelligence, SaaS, Software","Bangalore, Karnataka, India",SimpliContract is an artificial intelligence and SaaS-based contract lifecycle management (CLM) platform.,2020,01/01/2020,https://simplicontract.com/,12.966180000000065,77.58690000000007
265,Settl.,https://www.crunchbase.com/organization/settl,"Communities, Hospitality, Information Technology, Property Management, Real Estate, Rental","Bangalore, Karnataka, India",Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience.,2020,28/05/2020,https://thesettl.com,12.966180000000065,77.58690000000007
266,TicketGoose.com,https://www.crunchbase.com/organization/ticketgoose,"Online Portals, Tourism, Travel","Bangalore, Karnataka, India","Book your online bus tickets to various destinations with Ticketgoose.com, a leading travel agent in India.",2007,31/01/2007,http://www.ticketgoose.com,12.966180000000065,77.58690000000007
267,Kalvi,https://www.crunchbase.com/organization/kalvi,"EdTech, Higher Education","Bangalore, Karnataka, India",Kalvi is an ed-tech company to transform the future of higher education.,2021,01/01/2021,https://www.kalvieducation.com/,12.999240000000043,77.55010000000004
268,Picxy,https://www.crunchbase.com/organization/picxy,"Digital Marketing, Digital Media, Internet, Mobile, Photography","Bangalore, Karnataka, India","Picxy is the Stock Photo Company in South Asia aiming to provide you with authentic images exclusively, pertaining to the South Asian.",2017,01/01/2017,https://www.picxy.com/,12.966180000000065,77.58690000000007
269,HireHunch,https://www.crunchbase.com/organization/hirehunch,,"Bangalore, Karnataka, India",B2B platform that provides technical interviewing services to screen candidates for company's tech positions fast & cost-effectively.,2020,05/09/2020,https://hirehunch.com,12.966180000000065,77.58690000000007
270,Shopconnect,https://www.crunchbase.com/organization/nvipani-technology-solutions-private-limited,"E-Commerce, Enterprise Software, Information Technology, Software","Bangalore, Karnataka, India",ShopConnect is a next-generation interactive ecommerce and video collaboration platform,2015,17/06/2015,https://www.shopconnect.live,12.929460000000063,77.68344000000008
271,IBSFINtech,https://www.crunchbase.com/organization/ibsfintech,"Financial Services, FinTech, Information Services, Information Technology, Software","Bangalore, Karnataka, India","SaaS, Software, TreasuryTech, TradeFinance",2006,01/01/2006,http://www.ibsfintech.com,12.929550000000063,77.58527000000004
272,Fedo,https://www.crunchbase.com/organization/fedo,"Artificial Intelligence, Computer Vision, Health Care","Bangalore, Karnataka, India",Your Credit Score for health. The FEDO Score computes your risk for multiple diseases and the factors leading to them.,2018,21/03/2018,http://fedo.ai,12.966180000000065,77.58690000000007
273,Racetrack,https://www.crunchbase.com/organization/racetrack-ai,"Artificial Intelligence, Cloud Computing, Video","Bangalore, Karnataka, India","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2015,01/01/2015,http://racetrack.ai,12.984720000000038,77.56011000000007
274,Zovi,https://www.crunchbase.com/organization/zovi,"Apps, E-Commerce, Lifestyle, Payments","Bangalore, Karnataka, India",Zovi designs and manufactures high-quality lifestyle apparel and accessory products and exclusively offer them online.,2010,01/01/2010,http://zovi.com,12.966180000000065,77.58690000000007
275,Riyaz,https://www.crunchbase.com/organization/riyaz,"E-Learning, EdTech, Education, Music, Music Education","Bangalore, Karnataka, India","Your pocket music guru, anytime anywhere!",2016,21/10/2016,https://riyazapp.com,13.028970000000072,77.57878000000005
276,Walnut Knowledge Solutions,https://www.crunchbase.com/organization/walnut-knowledge-solutions,"Content, Content Creators, Education, Higher Education, Primary Education, Secondary Education","Bangalore City, Karnataka, India",Walnut Knowledge Solutions uses questions and stories to aid learning for kids and to engage audiences across platforms.,2014,01/08/2014,https://walnuts.co.in/,12.972010000000068,77.60800000000006
277,Neend,https://www.crunchbase.com/organization/neend,"Health Care, Wellness","Bangalore, Karnataka, India","Neend research on sleeplessness, its root causes, and solutions and come up with simple and new solutions through sleep apps.",2021,01/01/2021,https://neend.app/,12.966180000000065,77.58690000000007
278,Dybo,https://www.crunchbase.com/organization/dybo,"Augmented Reality, Furniture, Home Decor, Information Services","Bangalore, Karnataka, India",Dybo specializes in product visualization technology.,2019,01/01/2019,https://www.dybo.io/,12.966180000000065,77.58690000000007
279,Chhotastock,https://www.crunchbase.com/organization/chhotastock,,"Bangalore City, Karnataka, India",Chhotastock is an Investment Platform that aims to democratise stock trading and retail investing.,2022,14/01/2022,https://chhotastock.com/,12.966180000000065,77.58690000000007
280,flipClass,https://www.crunchbase.com/organization/flipclass,"Education, Marketplace, Tutoring","Bangalore, Karnataka, India",flipClass is an Indian online marketplace for home and group tuitions that connects teachers to students across the country.,2014,01/02/2014,http://www.flipclass.com/,12.966180000000065,77.58690000000007
281,Qikpod,https://www.crunchbase.com/organization/qikpod,"E-Commerce, Information Technology, Internet, Logistics, Packaging Services, Supply Chain Management","Bangalore, Karnataka, India",Delivering innovative last mile logistics solutions for India's eCommerce industry.,2015,01/01/2015,http://www.qikpod.com/,12.966180000000065,77.58690000000007
282,PinkBlue,https://www.crunchbase.com/organization/pinkblue,"E-Commerce, Health Care, Hospital, Software, Supply Chain Management","Bangalore, Karnataka, India",PinkBlue - Super-efficient supply-chain for medical supplies,2016,01/01/2016,http://pinkblue.in/,12.961990000000071,77.52626000000004
283,Azani Sports,https://www.crunchbase.com/organization/azani-sports,"Fashion, Sports","Bangalore, Karnataka, India",Azani Sports manufactures sports appreal .,2015,01/01/2015,https://www.azanisport.com/,12.966180000000065,77.58690000000007
284,Wasabi,https://www.crunchbase.com/organization/wasabi-febd,"Information Services, Information Technology, Small and Medium Businesses","Bangalore, Karnataka, India",Wasabi builds communications and growth platform for small and medium businesses.,2021,01/01/2021,https://www.getwasabi.in/,12.966180000000065,77.58690000000007
285,CloudFiles,https://www.crunchbase.com/organization/cloudfiles,"Document Management, File Sharing, Software","Bangalore, Karnataka, India","CloudFiles is an app that offers file version control, document management, file sharing, and tracking services for Hubspot and salesforce.",2021,11/01/2021,https://cloudfiles.io,12.966180000000065,77.58690000000007
286,Grexter,https://www.crunchbase.com/organization/grexter,Real Estate,"Bangalore, Karnataka, India","Grexter is Find a house, without loosing your mind. We've made renting a house, a simple and streamlined process.",2016,01/01/2016,http://www.grexter.in/home,12.83883000000003,77.65028000000007
287,Deftouch,https://www.crunchbase.com/organization/deftouch-design,"Gaming, Mobile, Social, Sports","Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2016,16/06/2016,http://www.deftouch.co,12.941870000000051,77.55353000000008
288,SandLogic Technologies Pvt. Ltd.,https://www.crunchbase.com/organization/sandlogic-technologies-pvt-ltd,"Artificial Intelligence, Software","Bangalore, Karnataka, India","SandLogic is Full-stack Enterprise AI company, building Edge AI accelerator platforms & Computer Vision APIs for businesses to transform.",2018,28/04/2018,https://www.sandlogic.com/,12.966180000000065,77.58690000000007
289,Comofi Medtech,https://www.crunchbase.com/organization/comofi-medtech,"Health Care, Robotics","Bangalore, Karnataka, India",Comofi Medtech is a healthcare robotics startup.,2018,01/01/2018,https://www.comofimedtech.com/,12.904840000000036,77.54368000000005
290,Salud Beverages,https://www.crunchbase.com/organization/salud-beverages,"Food and Beverage, Wine And Spirits","Bangalore, Karnataka, India","Salud Beverages is a new age Ready to Drink and Craft Spirits, an aspirational brand with Life & Lifestyle as its ethos.",2020,01/01/2020,https://www.salud.co.in/,12.872100000000046,74.83281000000005
291,Finception,https://www.crunchbase.com/organization/finception,"Financial Services, FinTech","Bangalore, Karnataka, India",Finception is currently working on building a product around managing and helping people plan their finances better.,2018,01/01/2018,https://finception.in/,12.966180000000065,77.58690000000007
292,Grocery Factory,https://www.crunchbase.com/organization/grocery-factory,"Delivery, Food and Beverage, Grocery, Retail","Bangalore, Karnataka, India",Grocery Factory is India's 1st one-stop consumer brand for Grocery Products,2016,01/01/2016,https://www.groceryfactory.in,12.966180000000065,77.58690000000007
293,Prolance,https://www.crunchbase.com/organization/prolance,"B2B, Interior Design, Software","Bangalore, Karnataka, India",Prolance is a B2B SaaS based marketplace for the interior industry.,2020,01/01/2020,https://www.prolance.co.in,12.966180000000065,77.58690000000007
294,Astrome Technologies Private Limited,https://www.crunchbase.com/organization/astrome-technologies-private-limited,"Internet, Telecommunications","Bangalore, Karnataka, India",Satellite Internet and Telecom Backhaul Company,2015,20/05/2015,https://www.astrome.co,12.997490000000028,77.55426000000006
295,Clairco,https://www.crunchbase.com/organization/clairco,"Electronics, Information Technology","Bangalore, Karnataka, India",Clairco provides enhanced air purification and real-time insights for breathable air indoors.,2018,01/01/2018,https://clairco.in,12.966180000000065,77.58690000000007
296,Str8bat Sport Tech Solutions,https://www.crunchbase.com/organization/str8bat-sport-tech-solutions-pvt-ltd,"3D Technology, Cloud Data Services, Internet of Things, Sports","Bangalore, Karnataka, India",Sports Wearable Company to help player improve everyday and play better,2017,02/03/2017,http://www.str8bat.com,12.993630000000053,77.52882000000005
297,1BRIDGE,https://www.crunchbase.com/organization/1bridge,"Consumer, E-Commerce, Payments","Bangalore, Karnataka, India",1BRIDGE is a last-mile services platform that enables access to a range of products & services.,2016,01/01/2016,http://www.1bridge.one,12.987540000000024,77.73591000000005
298,BotSpace,https://www.crunchbase.com/organization/botspace,"Customer Service, Enterprise Software, Messaging","Bangalore, Karnataka, India",We help businesses grow faster with WhatsApp,2017,01/07/2017,https://bot.space,12.969400000000064,77.62884000000008
299,RentSher,https://www.crunchbase.com/organization/rentsher,"E-Commerce, Internet","Bangalore, Karnataka, India",P2P Online Rentals for Anything & Everything,2014,19/12/2014,http://www.rentsher.com,12.966180000000065,77.58690000000007
300,BlockSurvey,https://www.crunchbase.com/organization/blocksurvey,"Internet, Market Research, Software","Bangalore, Karnataka, India","Privacy-focused surveys, polls & forms",2020,01/02/2020,https://blocksurvey.io,12.966180000000065,77.58690000000007
301,Explara,https://www.crunchbase.com/organization/explara,"Content Creators, Crowdfunding, E-Commerce, Event Management, Event Promotion, Events, SaaS, Small and Medium Businesses, Software, Ticketing","Bangalore, Karnataka, India","Explara helps creative entrepreneurs and small businesses to monetize from events, online selling, community, and crowdfunding.",2008,01/01/2008,https://www.explara.com/,12.966180000000065,77.58690000000007
