,State name,District name,Population,Literate,Male_Literate,Female_Literate,Households_with_Internet,Rural_Households,Urban_Households,Households,Workers,Male_Workers,Female_Workers,literacy_rate,internet_rate,rural_rate,urban_rate,activity_rate,female_activity,male_activity,male_literate,female_literate
26,HIMACHAL PRADESH,Mandi,999777,723747,393669,330078,5333,431129,31696,462825,572671,297464,275207,72.39084315802424,1.1522713768703075,93.15162318370874,6.848376816291254,57.27987341177082,48.056737638190164,51.943262361809836,54.39317883182936,45.60682116817065
27,HIMACHAL PRADESH,Hamirpur,454768,358091,180555,177536,2521,196116,15232,211348,241931,118724,123207,78.74146817718045,1.1928194257811762,92.79292919734277,7.2070708026572285,53.1987738803082,50.92650383787113,49.07349616212887,50.42154089323664,49.57845910676337
28,HIMACHAL PRADESH,Una,521173,399715,213281,186434,2412,185091,20126,205217,215346,141612,73734,76.69526241766171,1.1753412241675885,90.19282028292002,9.80717971707997,41.31948508460722,34.23978156083698,65.76021843916303,53.35826776578312,46.64173223421688
29,HIMACHAL PRADESH,Bilaspur,381956,287620,155599,132021,1574,152458,11987,164445,205871,111543,94328,75.3018672307805,0.9571589285171335,92.71063273434888,7.28936726565113,53.899140215103316,45.818983732531535,54.181016267468465,54.09881093108964,45.90118906891037
30,HIMACHAL PRADESH,Solan,580320,428578,244372,184206,5250,192787,51509,244296,298737,190001,108736,73.85201268265784,2.1490323214461147,78.91533221992992,21.08466778007008,51.4779776674938,36.39857131858457,63.60142868141543,57.01925903802808,42.98074096197191
31,HIMACHAL PRADESH,Sirmaur,529855,362645,205617,157028,2220,171102,21054,192156,280083,169399,110684,68.44230968849968,1.1553113095609817,89.04327733716354,10.956722662836444,52.86031083975805,39.51828565103916,60.48171434896085,56.69925133394918,43.30074866605082
32,HIMACHAL PRADESH,Shimla,814010,612642,342846,269796,9177,279269,95896,375165,430926,258628,172298,75.26222036584316,2.4461237055695495,74.43898018205323,25.561019817946768,52.93866168720286,39.983198971517155,60.016801028482845,55.96188312260668,44.03811687739332
33,HIMACHAL PRADESH,Kinnaur,84121,60699,36697,24002,354,44514,0,44514,56273,33863,22410,72.15677417054005,0.7952554252594689,100.0,0.0,66.89530557173595,39.82371652479875,60.17628347520125,60.457338671147795,39.542661328852205
34,PUNJAB,Gurdaspur,2298323,1634719,907660,727059,14428,420860,185488,606348,757138,637652,119486,71.12659969899792,2.3794916450619117,69.40898625871613,30.591013741283884,32.94306326830476,15.781271049663337,84.21872895033667,55.52391573108283,44.47608426891716
35,PUNJAB,Kapurthala,815168,576567,316254,260313,9732,165433,95770,261203,284165,235562,48603,70.72983728507498,3.7258377583718407,63.335030608377394,36.66496939162261,34.859685365470675,17.10379533017789,82.89620466982211,54.851214169385344,45.148785830614656
