"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belarus","BLR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0043665068","4.5764180622","5.8497166433","7.4592015714","8.2011974342","9.5260719659","9.6566859011","10.200418747","10.391188112","9.8141557609","10.261724628","9.8762673906","10.147823728","9.0812961975","8.4749040932","8.6278272213","7.7126084546","6.8456203957","5.8395056308","5.1626395781","4.2566399337","3.9616301779","3.610474411","3.5337181443","3.6048483939","3.4536005587","3.2501774893","2.5396199226","2.3908727902","","",
"Belize","BLZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.578383405","25.09134819","33.157130498","24.867497068","28.569775348","28.541427353","31.578441535","32.438108424","33.569952611","30.827414152","40.004341556","37.54890442","42.899281363","28.636967143","34.808102647","32.970747466","37.459385069","37.788570288","","","",
"Bermuda","BMU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6412276383","4.893006263","1.621349936","4.8360576458","9.6183132685","","6.3506175976","3.1616054633","0","3.1364185237","0","4.663961569","1.5477480266","3.0830892554","1.5369246138","3.0707815139","4.6109155741","4.6230660174","7.7369439072","9.3308243783","10.945024704","12.582375238","9.4968264772","7.9654617578","6.4121060562","6.4513007435","12.960124936","8.1428850908","","","",
"Bolivia","BOL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1774741746","5.1301433279","8.0557095207","8.5172418085","8.2854567472","12.668435205","12.102280722","11.76563888","8.8405126928","8.798379529","6.1731052799","6.2183744444","","","","",
"Brazil","BRA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.664802084","18.56171633","16.833232314","17.859684115","18.723517036","20.985133858","21.670465207","22.219411665","22.641672719","22.842567918","23.797080111","24.816980761","25.390251222","25.756453968","24.11823962","23.448801615","23.960670588","23.470728215","23.894658908","22.960855373","22.109854307","24.34453674","26.621868092","26.941953612","28.849832246","28.59025632","29.877807011","30.831362508","27.382530291","","",
"Barbados","BRB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.030164832","8.0179602309","8.3685191525","7.958494556","7.5502183901","6.3920588069","","","7.4257241938","8.5041873879","7.3661840588","9.1745139343","9.1433420012","12.029263918","7.9917757362","10.49507817","12.613748986","8.9701866875","8.2158702035","6.7589921276","10.987803538","9.541074325","7.754725095","8.4419650081","8.7773194067","10.864727138","7.6977445608","10.481118265","9.7683505442","","",
"Brunei Darussalam","BRN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9545006894","2.5644148967","1.2533880646","1.2261889435","1.2006027026","","","0.8491487284","0.55643038778","0.54777712045","0.81023707537","0.8000704062","0.26356156007","0.78144943241","0.25731150646","0.25400889539","1.0025138034","0.49454272107","","","","","","","",
"Bhutan","BTN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7678904147","2.2445135671","5.0512136944","3.5674721643","3.7600699373","2.9927295377","2.2161851697","1.2687756134","1.9490483329","2.2495786366","3.0456131327","3.1475557573","3.0842904103","0.79638124363","2.348119704","1.6955840825","1.3690211803","2.1056652925","2.6801228687","2.3587374268","2.3340559181","4.615626492","4.703655453","3.3791632347","","1.6486120747","1.2216542284","1.7436487594","1.193007386","","",
"Botswana","BWA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.718893349","14.959196591","17.989064724","14.669790936","16.174960827","14.216375413","14.929686509","14.66875753","14.793997425","15.248305828","","","","","","","","","","",
"Central African Republic","CAF","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.120400654","","","","",
"Canada","CAN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3855063172","2.7035930142","2.5970427726","2.1928008596","2.0650895435","2.0127448927","2.1522298663","1.9702526812","1.8619630527","1.7787304821","1.784991614","1.7940372678","1.8666853121","1.7435187944","1.9644519069","2.0643997588","1.8686421985","1.812892765","1.8417621548","1.8076166625","1.6282273237","1.7545304234","1.5692099924","1.442067897","1.463646963","1.6931901668","1.682106961","1.7967939805","1.755921136","","",
"Central Europe and the Baltics","CEB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","1.3","1.3","","","","","",
"Switzerland","CHE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6534210107","1.4585898889","1.3690753265","1.5286208041","1.1530024111","1.1721789334","1.1793077804","1.2308122385","1.0716640051","1.2508729758","0.96587737221","1.1979093974","1.1910733759","1.0043526995","1.0650313611","1.015322159","0.80450943629","0.67666305868","0.70839869623","0.6611439969","0.66592612267","0.58176387772","0.56193764091","0.70293342752","0.49963423118","0.68701393011","0.53699828698","0.53217928481","0.58646802447","","",
"Channel Islands","CHI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65930878067","1.3071980863","","0.63921861916","","0","","","","","","","","","","",
"Chile","CHL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2366647362","","3.5593537375","3.6075682379","3.7265124604","3.5192184941","3.7308606847","3.17069021","3.6904685642","2.4942014127","3.1642127988","2.4663593928","3.3946681228","3.3609620523","4.2175509131","4.4048944838","","",
"China","CHN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2044924828","2.0302225556","2.065775141","2.0670297437","2.0275155549","2.0811167787","1.996648031","2.0098638205","1.8545529296","1.8676809685","1.5607430604","1.3428634132","1.1975537265","1.0942179341","1.0775293576","0.97968265009","0.87286746537","0.81534082885","0.76443188394","0.72049529638","0.65394419747","0.61058689229","0.56227146084","0.52709078934","","",
"Cote d'Ivoire","CIV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.958628702","4.7398095664","6.3028786916","5.9639772205","","","","","4.0306089429","6.452779349","4.9112059857","3.9939937986","4.0958299471","","0.9346679039","1.154586912","1.1535303315","1.388093415","","","",
"Congo, Dem. Rep.","COD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.498827236","84.198482816","81.876517754","81.048643663","75.726437148","61.285334203","62.978088992","61.499631943","60.183545085","62.449569825","66.967003377","69.157468276","69.447701296","56.703964374","48.032185985","42.466503083","40.459804299","39.320938054","36.470478391","35.345208745","34.184160481","35.317629927","35.680396624","33.16235475","28.408881626","26.897770606","25.743617318","25.019503231","25.343802597","","",
"Comoros","COM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3338889815","4.5990201897","9.50254193","7.459966622","6.1044021159","7.0708709233","7.80821383","7.9164670634","10.624265823","11.083819405","10.552233556","12.541580162","8.7662461409","11.673005234","7.0697805949","6.8044225068","","",
"Costa Rica","CRI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4559337008","4.1223166295","4.8683640015","4.7445391837","5.2618964395","5.189641926","5.2032273224","5.6467520958","5.8887040198","6.305611634","6.2841194245","6.3707309286","6.2912681587","7.2045192508","6.6269742466","7.8170502233","8.0774682131","8.3775557789","11.471787804","11.61314555","11.513158973","10.230761959","8.6817350586","8.6670261409","9.9470533158","11.489736076","11.797517051","12.181928927","11.261254504","","",
"Caribbean small states","CSS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","27.4","31.5","","","","","",
"Cuba","CUB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2684035391","7.4332821222","8.3129883477","7.8249517875","6.6914793791","6.7972552556","7.4102888509","5.4940727616","5.2757296752","5.4188764636","5.9019627732","5.7172448401","5.8664742463","6.0737448526","5.1148892027","5.0483876401","4.5830839706","5.032640459","4.4985525796","4.7522971884","5.5165125833","5.9737357705","5.3064900407","5.465891293","5.0462686372","","","","",
"Curacao","CUW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.668417622","30.213352753","33.483359549","31.8538143","19.979098789","13.5529922","19.036601527","","","","","","","","","","","","","",
"Cayman Islands","CYM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9029517525","7.5357950264","3.5991937806","6.8804183294","6.5528652403","6.2187121047","2.9355643622","5.5317383488","2.608922515","0","9.4551471457","4.5522829699","0","6.4344543583","10.438631287","6.090010353","1.9712590432","3.8255547054","7.4301105229","14.461054572","15.880858272","","","8.3426492917","8.2171969498","","","","","","",
"Cyprus","CYP","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.65221701608","0.12769418774","0.24980952024","0.6106870229","0.83621628854","1.0521504201","1.1449166844","0.67325710567","0.77032276524","1.0798564655","0.84809729372","0.72895860973","0.20471499578","1.409071603","1.5835156026","1.9461746478","1.4347092514","1.2221399106","0.83212521081","1.7302786933","0.71902550473","0.80011592791","1.9382474367","1.04907393","0.95461499943","1.292004131","1.1109316529","0.59337874094","1.2612864112","","",
"Czech Republic","CZE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9978835946","1.6991385561","1.6714488138","1.8087999763","1.6855166845","1.6688652997","1.8562839683","1.3143778626","1.3557980949","1.5919319716","1.3086648064","1.0528198757","1.262306395","1.2165056647","1.0934971737","0.89624914964","0.97755291741","0.8138920393","0.9923164465","0.85013699958","0.76479279214","0.83007982915","0.61211797717","0.62024059321","","","",
"Germany","DEU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4833928547","1.6891506855","1.739667254","1.5541743463","1.6614516302","1.6884677639","1.5370679428","1.4484162938","1.1989778566","1.2347964156","1.2469152208","1.1356117609","1.1712743578","1.0525107153","1.0631200069","1.0649152353","0.99174890685","0.93137322209","0.89063505993","0.99258391484","0.981107786","0.9127379369","0.81385525966","0.84016663732","0.87906291893","0.83386916356","1.1716216448","0.98356599145","0.9479766191","","",
"Djibouti","DJI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.823618255","10.024631953","2.8715003589","1.4353174204","12.886597938","11.411942598","11.36573515","11.33465571","7.0703356995","9.8874246084","9.8829575456","18.349141825","21.16342396","8.4611913357","","","12.659830358","12.644889357","22.438189799","26.588301147","","","",
"Denmark","DNK","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79749206252","1.3191317165","1.1988427687","1.3678190703","1.4391708534","1.1275230478","1.2940409225","1.6673888861","0.9244620197","0.97711833147","1.0858999265","0.97050069811","0.89338925454","1.2066156695","0.7958903922","0.97755298568","0.53266787809","0.71299031796","0.98222339361","0.85046492384","0.75609616031","0.82393273843","0.83765393451","0.8513427804","1.306451274","1.0898808954","0.9805044205","1.2386002979","1.0083219593","","",
"Dominican Republic","DOM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.488974148","10.893130026","12.323647609","13.079624197","12.878491117","12.976617192","12.839531706","13.646721798","12.776737421","14.283493346","12.7346327","14.659069471","21.490755642","24.948620772","26.315610125","23.257123226","22.604481748","25.311693844","24.799681228","25.518000453","25.608314662","22.837772467","19.685066797","17.805878931","","15.541841889","11.566509666","10.04973395","","",
"Algeria","DZA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.01461938","1.3734182634","0.61538981325","0.9274395383","0.79316355068","0.94441202347","0.78395009074","0.7059977651","0.76374527371","1.3989980018","1.2585167829","1.4823877943","1.3642763974","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","","1.6","1.5","","","","","",
"Early-demographic dividend","EAR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","6.3","6","","","","","",
"East Asia & Pacific","EAS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1.5","1.4","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","5.5","6.2","","","","","",
"Europe & Central Asia","ECS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","3","3.3","","","","","",
"Ecuador","ECU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7186591328","11.00981277","8.7251639608","8.4477797666","10.162384918","11.978227625","12.497896237","11.015930297","13.467224097","13.518608461","14.454555799","12.838123497","14.501503219","14.488007864","17.578195389","15.34084116","16.9637649","15.898936205","17.935103407","17.767204543","17.473719805","15.376657591","12.427217895","10.982033838","8.2184917695","6.4890116729","5.8395077689","5.7907618998","5.8006273457","","",
