District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Households_with_Internet,Rural_Households,Urban_Households,Households
398,ORISSA,Koraput,1379647,678809,700838,568090,340843,227247,693406,384053,309353,3988,381789,78339,460128
399,ORISSA,Malkangiri,613192,303624,309568,244706,147001,97705,310666,170495,140171,448,167884,15839,183723
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,229923,167900,307071,185483,121588,1667,121852,59763,181615
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,694686,493255,1155807,649888,505919,2737,525596,65167,590763
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,280656,214759,487360,263645,223715,567,205670,20722,226392
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,542756,408883,690167,429211,260956,3342,354278,66638,420916
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,433391,315368,521186,333329,187857,4544,206598,126055,332653
405,CHHATTISGARH,Janjgir - Champa,1619707,815717,803990,1019634,593679,425955,846466,478278,368188,1706,379583,61190,440773
406,CHHATTISGARH,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,1203197,715467,487730,8566,549632,188174,737806
407,CHHATTISGARH,Kabeerdham,822526,412058,410468,414167,248503,165664,404156,217073,187083,682,187311,23868,211179
408,CHHATTISGARH,Rajnandgaon,1537133,762855,774278,1008379,561355,447024,800092,436611,363481,2111,313604,76528,390132
409,CHHATTISGARH,Durg,3343872,1682101,1661771,2303378,1284612,1018766,1496805,921729,575076,16141,533448,349741,883189
410,CHHATTISGARH,Raipur,4063872,2048186,2015686,2629749,1493158,1136591,1757664,1099964,657700,20261,673499,395001,1068500
411,CHHATTISGARH,Mahasamund,1032754,511967,520787,637963,364089,273874,499260,291858,207402,961,274793,35774,310567
412,CHHATTISGARH,Dhamtari,799781,397897,401884,546833,303924,242909,402895,226382,176513,1016,168689,41792,210481
413,CHHATTISGARH,Uttar Bastar Kanker,748941,373338,375603,456042,258298,197744,389359,217513,171846,579,169191,24878,194069
414,CHHATTISGARH,Bastar,1413199,698487,714712,650863,382335,268528,726531,404364,322167,1782,316425,54894,371319
415,CHHATTISGARH,Narayanpur,139820,70104,69716,56621,33449,23172,71089,38186,32903,86,26916,6179,33095
416,CHHATTISGARH,Dakshin Bastar Dantewada,533638,264142,269496,191237,116529,74708,286595,153294,133301,955,106545,31304,137849
